id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436.0,Pub Beer,American Pale Lager,12.0,0.05,,408,10 Barrel Brewing Company,Bend,OR
2265.0,Devil's Cup,American Pale Ale (Apa),12.0,0.066,,177,18th Street Brewery,Gary,IN
2264.0,Rise of the Phoenix,American Ipa,12.0,0.071,,177,18th Street Brewery,Gary,IN
2263.0,,American Double / Imperial Ipa,12.0,0.09,,177,18th Street Brewery,Gary,IN
2262.0,Sex and Candy,American Ipa,12.0,0.075,,177,18th Street Brewery,Gary,IN
2261.0,Black Exodus,Oatmeal Stout,12.0,0.0693785149387413,,177,18th street brewery,Gary,IN
2260.0,Lake Street Express,American Pale Ale (Apa),12.0,0.045,,177,18th Street Brewery,Gary,IN
2259.0,Foreman,American Porter,12.0,0.065,,177,18th Street Brewery,Gary,IN
2258.0,,American Pale Ale (Apa),12.0,0.055,,177,18th Street Brewery,Gary,IN
2131.0,Cone Crusher,American Double / Imperial Ipa,12.0,0.086,,177,,Gary,IN
2099.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,,177,18th Street Brewery,Gary,IN
2098.0,,Saison / Farmhouse Ale,12.0,0.073,,177,18th Street Brewery,Gary,IN
2097.0,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street Brewery,Gary,IN
1980.0,Troll Destroyer,Belgian Ipa,12.0,0.085,,177,18th Street Brewery,Gary,IN
,Bitter Bitch,American Pale Ale (Apa),12.0,,60.0,177,18th Street Brewery,Gary,IN
2318.0,Ginja Ninja,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2170.0,Cherried Away,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2169.0,Rhubarbarian,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
1502.0,BrightCider,Cider,12.0,0.06,,154,,Corvallis,OR
1593.0,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368,21st Amendment Brewery,San Francisco,CA
1592.0,He Said Belgian-Style Tripel,Tripel,12.0,0.082,,368,21st Amendment Brewery,San Francisco,CA
1036.0,Lower De Boom,American Barleywine,8.4,0.099,92.0,368,21st Amendment Brewery,San Francisco,CA
1024.0,Fireside Chat,Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,San Francisco,CA
976.0,marooned on hog island,American Stout,12.0,,,368,21st amendment brewery,San Francisco,CA
876.0,bitter american,American Pale Ale (Apa),12.0,0.044,42.0,368,,San Francisco,CA
802.0,hELL OR hIGH wATERMELON wHEAT (2009),Fruit / Vegetable Beer,12.0,,17.0,368,21st Amendment Brewery,San Francisco,CA
801.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,
800.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
799.0,21st Amendment IPA (2006),American Ipa,12.0,0.07,69.99846978419374,368,21ST aMENDMENT bREWERY,San Francisco,CA
,Brew Free! or Die IPA (2008),American Ipa,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,CA
796.0,Brew Free! or Die IPA (2009),American Ipa,12.0,0.07,70.0,368,21st Amendment Brewery,San Francisco,
531.0,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,52.0,368,21st Amendment Brewery,San Francisco,
432.0,Hop Crisis,American Double / Imperial Ipa,12.0,0.097,94.0,368,21st Amendment Brewery,San Francisco,CA
353.0,Bitter American (2011),American Pale Ale (Apa),12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA
321.0,Fireside Chat (2010),Winter Warmer,12.0,0.079,45.0,368,21st amendment brewery,San Francisco,CA
173.0,bACK IN bLACK,American Black Ale,12.0,0.068,65.0,368,21st Amendment Brewery,San Francisco,CA
11.0,Monk's Blood,Belgian Dark Ale,12.0,0.083,35.0,368,21st Amendment Brewery,San Francisco,CA
10.0,Brew Free! or Die IPA,,12.0,0.07,65.0,368,21st amendment brewery,San Francisco,CA
9.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
,,American Ipa,12.0,0.07,82.0,67,3 Daughters Brewing,St Petersburg,FL
2518.0,Beach Blonde,American Blonde Ale,12.0,0.05,,67,3 Daughters Brewing,St Petersburg,FL
2517.0,Rod Bender Red,,12.0,,,67,3 Daughters Brewing,,FL
2545.0,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,10.999955611852345,60,4 Hands Brewing Company,Saint Louis,MO
2544.0,Send Help,American Blonde Ale,12.0,0.045,18.0,,4 hands brewing company,Saint Louis,MO
2324.0,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
2288.0,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,,60,4 Hands Brewing Company,Saint Louis,MO
2287.0,Alter Ego,American Black Ale,12.0,0.055,,60,4 Hands Brewing Company,Saint Louis,MO
2286.0,Divided Sky,American Ipa,12.0,0.065,,60,4 Hands Brewing Company,,MO
2285.0,Resurrected,American Ipa,12.0,0.065,,60,4 Hands Brewing Company,Saint Louis,MO
1870.0,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60,4 Hands Brewing Company,Saint Louis,
2603.0,Galaxyfest,American Ipa,16.0,0.065,,27,450 North Brewing Company,,IN
2602.0,Citrafest,American Ipa,16.0,0.05,45.0,27,450 North Brewing Company,Columbus,IN
2220.0,Barn Yeti,Belgian Strong Dark Ale,16.0,0.09,,27,450 North Brewing Company,Columbus,IN
2219.0,,American Ipa,16.0,0.069,65.0,27,450 North Brewing Company,Columbus,IN
2218.0,Ironman,English Strong Ale,16.0,0.09,50.0,27,450 North Brewing Company,Columbus,IN
2217.0,Honey Kolsch,Kölsch,,0.046,14.99315254689994,27,450 nORTH bREWING cOMPANY,Columbus,IN
2216.0,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27,450 North Brewing Company,Columbus,IN
972.0,Rude Parrot IPA,American Ipa,16.0,0.059,75.0,,7 Seas Brewing Company,Gig Harbor,WA
866.0,British Pale Ale (2010),English Pale Ale,16.0,0.054,,,7 Seas Brewing Company,,WA
,,English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA
47.0,Ballz Deep Double IPA,American Double / Imperial Ipa,16.0,0.084,82.0,481,7 Seas Brewing Company,Gig Harbor,WA
1583.0,Wolfman's Berliner,Berliner Weissbier,12.0,0.0265581442289572,,373,7venth Sun,Dunedin,FL
1165.0,colorado native,American Amber / Red Lager,12.001808535479665,0.055,26.0,462,AC Golden Brewing Company,Golden,CO
431.0,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Golden,CO
516.0,,American Ipa,12.0,,52.0144011786216,533,Abita Brewing Company,Abita Springs,LA
515.0,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,13.0,533,Abita Brewing Company,Abita Springs,LA
514.0,Abita Amber,American Amber / Red Lager,12.0,0.045,17.0,533,Abita Brewing Company,Abita Springs,LA
2540.0,Citra Ass Down,American Ipa,16.0,0.082,68.0,62,,Louisville,KY
2539.0,The Brown Note,American Brown Ale,16.0,0.05,20.0,62,aGAINST tHE gRAIN bREWERY,Louisville,KY
2686.0,Citra Ass Down,American Double / Imperial Ipa,16.0,0.08,68.0,1,Against the Grain Brewery,Louisville,KY
2685.0,London Balling,English Barleywine,16.0,0.125,80.0,1,Against the Grain Brewery,Louisville,KY
2684.0,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1,Against the Grain Brewery,,KY
2683.0,A Beer,American Pale Ale (Apa),16.0,0.042,42.0,1,Against the Grain Brewery,,KY
2682.0,rules are rules,German Pilsener,16.0,0.05,25.0,1,Against the Grain Brewery,Louisville,KY
2681.0,Flesh Gourd'n,Pumpkin Ale,16.0,0.066,21.0,1,Against the Grain Brewery,Louisville,KY
2680.0,Sho'nuff,Belgian Pale Ale,16.0,0.04,13.0,1,Against the Grain Brewery,Louisville,KY
2679.0,Bloody Show,American Pilsner,16.0,0.055,17.0,1,,Louisville,
2678.0,Rico Sauvin,American Double / Imperial Ipa,15.994132476620027,0.076,68.0,1,Against the Grain Brewery,Louisville,KY
2677.0,Coq de la Marche,Saison / Farmhouse Ale,16.0,0.051,38.0,1,against the grain brewery,Louisville,KY
2676.0,Kamen Knuddeln,American Wild Ale,16.0,0.065,,1,Against the Grain Brewery,Louisville,KY
2675.0,pile of face,American Ipa,16.0,0.06,65.0,1,Against the Grain Brewery,Louisville,KY
2674.0,tHE bROWN nOTE,English Brown Ale,16.0,0.05,20.0,1,Against the Grain Brewery,Louisville,KY
1594.0,maylani's coconut stout,American Stout,16.0,0.053,35.0,367,airways brewing company,Kent,WA
1162.0,Oatmeal PSA,American Pale Ale (Apa),16.0,0.05,35.0,367,airways brewing company,Kent,WA
1137.0,Pre Flight Pilsner,American Pilsner,16.0,0.052,33.0,367,Airways Brewing Company,Kent,WA
2403.0,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,117,aLAMEDA bREWING,Portland,OR
2402.0,Klickitat Pale Ale,American Pale Ale (Apa),12.0,0.053,36.0,117,Alameda Brewing,Portland,OR
2401.0,Yellow Wolf Imperial IPA,American Double / Imperial Ipa,12.0,0.082,103.0,117,Alameda Brewing,Portland,OR
1921.0,Freeride APA,American Pale Ale (Apa),12.0,0.053,,,,,AK
1920.0,Alaskan Amber,Altbier,12.0,0.0532131091016436,18.0,270,Alaskan Brewing Company,Juneau,AK
2501.0,Hopalicious,American Pale Ale (Apa),12.0,0.057,,73,,Madison,WI
1535.0,Kentucky Kölsch,Kölsch,16.0,0.043,,388,aLLTECH'S lEXINGTON bREWING cOMPANY,Lexington,KY
1149.0,Kentucky IPA,American Ipa,16.0,0.065,,388,Alltech's Lexington Brewing Company,Lexington,KY
1474.0,dUSTY tRAIL pALE aLE,American Pale Ale (Apa),16.0,0.054,,401,Amnesia Brewing Company,Washougal,WA
1473.0,dAMNESIA,American Ipa,16.0,0.062,,401,Amnesia Brewing Company,Washougal,WA
837.0,Desolation IPA,American Ipa,16.0,0.062,43.0,401,amnesia brewing company,Washougal,WA
2592.0,Liberty Ale,American Ipa,12.0,0.059,,35,aNCHOR bREWING cOMPANY,San Francisco,CA
2578.0,IPA,American Ipa,,0.065,,35,Anchor Brewing Company,San Francisco,CA
,Summer Wheat,American Pale Wheat Ale,12.0,0.045,,35,Anchor Brewing Company,San Francisco,CA
2103.0,California Lager,American Amber / Red Lager,,0.049,,35,Anchor Brewing Company,San Francisco,CA
2102.0,Brotherhood Steam,,12.0,0.056,,35,Anchor Brewing Company,San Francisco,CA
2291.0,Blood Orange Gose,Gose,12.0,,,171,Anderson Valley Brewing Company,Boonville,CA
1818.0,Keebarlin' Pale Ale,American Pale Ale (Apa),12.0,0.042,,171,Anderson Valley Brewing Company,Boonville,CA
1738.0,"the kimmie, the yink and the holy gose",Gose,12.0,0.048,,171,Anderson Valley Brewing Company,,CA
1563.0,Fall Hornin',Pumpkin Ale,12.0,0.06,,171,Anderson Valley Brewing Company,Boonville,CA
1520.0,barney flats oatmeal stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA
